Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age in Days
A840109,A840109,08/03/2021 04:28:00 PM,Aug 2021,07/02/2021,Transfer,Partner,2,0,4 weeks,Chihuahua Shorthair Mix,Yellow/White,0.09323370693233707
A624949,Axle,04/30/2014 04:25:00 PM,Apr 2014,09/01/2010,Euthanasia,Aggressive,2,2,3 years,German Shepherd Mix,Black/Tan,0.18181818181818182
A825688,*Gus,11/30/2020 02:00:00 PM,Nov 2020,11/09/2019,Transfer,Partner,1,3,1 year,Domestic Medium Hair,Black,0.12121212121212122
A775525,*Loki,07/17/2018 09:58:00 AM,Jul 2018,04/05/2018,Adoption,Foster,1,2,3 months,Domestic Shorthair Mix,Black/White,0.09838107098381071
A799399,Milo,08/21/2019 11:18:00 AM,Aug 2019,06/02/2019,Adoption,Foster,2,2,2 months,Australian Cattle Dog,White,0.09589041095890412
A805851,Blue,11/07/2019 02:21:00 PM,Nov 2019,10/02/2015,Transfer,Partner,1,2,4 years,Domestic Shorthair,Blue,0.21212121212121213
A838753,*Snickers,08/13/2021 02:18:00 PM,Aug 2021,06/08/2021,Adoption,Foster,1,3,2 months,Domestic Shorthair,Orange Tabby,0.09589041095890412
A865374,Vince,06/08/2023 01:30:00 PM,Jun 2023,09/09/2017,Adoption,Foster,2,2,5 years,German Shepherd/Siberian Husky,Tan,0.24242424242424243
A851554,*Pip,02/25/2022 10:47:00 AM,Feb 2022,12/14/2021,Transfer,Out State,2,2,2 months,Miniature Schnauzer Mix,Buff/White,0.09589041095890412
A700074,*Cynthia,02/10/2016 12:00:00 AM,Feb 2016,04/07/2014,Transfer,Partner,2,3,1 year,Pit Bull Mix,White/Brown,0.12121212121212122
A766613,*Maxwell,02/23/2018 04:14:00 PM,Feb 2018,02/12/2010,Transfer,Partner,1,2,8 years,Domestic Shorthair Mix,Cream Tabby,0.33333333333333337
A859137,*Shirley,07/24/2022 05:22:00 AM,Jul 2022,04/24/2022,Adoption,Foster,2,3,2 months,Jack Russell Terrier/Chihuahua Shorthair,Tricolor,0.09589041095890412
A904025,Rio,05/15/2024 02:10:00 PM,May 2024,05/06/2022,Euthanasia,At Vet,2,1,2 years,Labrador Retriever,Black,0.15151515151515152
A819322,*Olivia,09/08/2020 09:09:00 AM,Sep 2020,05/25/2020,Adoption,Foster,1,3,3 months,Domestic Shorthair Mix,Brown Tabby/White,0.09838107098381071
A785580,Luna,02/07/2019 08:22:00 AM,Feb 2019,12/05/2017,Adoption,Foster,2,3,1 year,Chihuahua Shorthair Mix,Tan,0.12121212121212122
A727229,*Amelia,10/19/2016 12:00:00 AM,Oct 2016,04/13/2016,Transfer,Partner,1,3,6 months,Domestic Shorthair Mix,Black/White,0.10585305105853052
A806898,*Panther,10/31/2019 02:23:00 PM,Oct 2019,10/17/2017,Transfer,Partner,2,1,2 years,Labrador Retriever,Black,0.15151515151515152
A670994,*Kaley,02/03/2014 02:31:00 PM,Feb 2014,06/17/2013,Transfer,Partner,1,3,7 months,Domestic Shorthair Mix,Black/White,0.10834371108343711
A692375,*Spinoza,12/20/2014 05:56:00 PM,Dec 2014,10/19/2014,Adoption,Foster,2,2,2 months,German Shepherd/Labrador Retriever,Black/White,0.09589041095890412
A729785,Daisy,06/27/2016 04:55:00 PM,Jun 2016,10/04/2015,Euthanasia,Suffering,2,3,8 months,Pit Bull Mix,Blue/White,0.11083437110834371
A702465,*Jonny Cat,05/17/2015 02:29:00 PM,May 2015,04/02/2015,Transfer,Partner,1,1,1 month,Domestic Shorthair Mix,Black/White,0.09339975093399751
A778213,Simon,08/14/2018 01:43:00 PM,Aug 2018,08/10/2016,Transfer,Partner,2,1,2 years,Miniature Poodle Mix,White,0.15151515151515152
A858749,A858749,06/07/2022 03:49:00 PM,Jun 2022,05/12/2022,Transfer,Partner,1,1,3 weeks,Domestic Shorthair Mix,Black,0.09265255292652554
A790523,Bordeaux,10/05/2019 01:40:00 PM,Oct 2019,03/11/2018,Transfer,Partner,2,1,1 year,Boxer Mix,Brown/White,0.12121212121212122
A754695,Fern,12/03/2018 02:25:00 PM,Dec 2018,07/23/2016,Transfer,Partner,1,3,2 years,Domestic Shorthair Mix,Blue Tabby,0.15151515151515152
A795246,Dash,05/21/2019 12:13:00 PM,May 2019,05/18/2015,Transfer,Partner,2,2,4 years,Cocker Spaniel/Labrador Retriever,Tricolor/Brown,0.21212121212121213
A868178,*Alice,07/05/2023 02:47:00 PM,Jul 2023,10/30/2020,Adoption,Foster,2,3,2 years,Pit Bull,White,0.15151515151515152
A860132,Gia,12/07/2022 12:07:00 PM,Dec 2022,12/23/2019,Adoption,Foster,1,3,2 years,Domestic Shorthair,Blue,0.15151515151515152
A793008,*Novak,04/30/2019 03:34:00 PM,Apr 2019,10/18/2017,Transfer,Partner,2,2,1 year,Black Mouth Cur Mix,Tan/Black,0.12121212121212122
A799747,*262 Grams,07/11/2019 03:30:00 PM,Jul 2019,06/19/2019,Transfer,Partner,1,4,3 weeks,Domestic Shorthair,Black,0.09265255292652554
A739297,Mycah,12/12/2016 12:00:00 AM,Dec 2016,10/15/2016,Transfer,Partner,2,2,1 month,Pit Bull Mix,Black/White,0.09339975093399751
A683386,*Fiona,08/30/2014 05:35:00 PM,Aug 2014,05/18/2014,Adoption,Foster,1,3,3 months,Domestic Shorthair Mix,Brown Tabby,0.09838107098381071
A741843,Thomas,06/10/2017 03:21:00 PM,Jun 2017,05/13/2016,Euthanasia,Suffering,1,2,1 year,Domestic Shorthair Mix,Orange Tabby,0.12121212121212122
A702471,Simona,09/29/2015 03:46:00 PM,Sep 2015,05/14/2013,Transfer,Partner,2,3,2 years,American Pit Bull Terrier/Labrador Retriever,Brown Brindle/White,0.15151515151515152
A913791,97 Grams,09/21/2024 12:28:00 PM,Sep 2024,09/20/2024,Transfer,Partner,1,0,1 day,Domestic Shorthair,Black/White,0.09099211290992114
A865886,*Bonaire,11/29/2022 01:49:00 PM,Nov 2022,09/19/2020,Adoption,Foster,2,2,2 years,Pointer/English Coonhound,White/Brown,0.15151515151515152
A877973,*Soco,09/27/2023 06:06:00 PM,Sep 2023,10/01/2019,Adoption,Foster,2,3,3 years,Labrador Retriever/Great Pyrenees,White/Brown Brindle,0.18181818181818182
A876417,*Meadow,03/18/2023 10:16:00 AM,Mar 2023,11/14/2022,Died,In Kennel,2,0,4 months,Pit Bull,Tan/White,0.10087173100871731
A862763,Akina,11/15/2022 01:11:00 PM,Nov 2022,07/30/2021,Adoption,Foster,2,2,1 year,Siberian Husky,Brown/White,0.12121212121212122
A678669,*Sweetie,07/12/2014 08:44:00 PM,Jul 2014,05/05/2014,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A684962,*Glory,08/04/2014 02:34:00 PM,Aug 2014,07/01/2014,Transfer,Partner,1,0,4 weeks,Domestic Shorthair,Black,0.09323370693233707
A855794,*Aileen,04/29/2022 11:07:00 AM,Apr 2022,02/08/2022,Transfer,Out State,2,0,2 months,Irish Wolfhound/Labrador Retriever,Brown/Black,0.09589041095890412
A813326,Zeus,02/14/2020 02:43:00 PM,Feb 2020,02/08/2016,Transfer,Partner,2,1,4 years,Boxer Mix,Red/White,0.21212121212121213
A848292,*Gingerbread,01/21/2022 08:00:00 AM,Jan 2022,11/17/2021,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Tortie,0.09589041095890412
A795662,*Fergus,12/16/2019 01:41:00 PM,Dec 2019,05/23/2018,Transfer,Partner,2,2,1 year,Redbone Hound/Labrador Retriever,Red/White,0.12121212121212122
A758293,*Tostada,11/08/2017 11:51:00 AM,Nov 2017,08/01/2017,Adoption,Foster,1,3,3 months,American Shorthair Mix,Blue Tabby,0.09838107098381071
A814458,Scarlett,03/03/2020 05:52:00 PM,Mar 2020,11/29/2019,Transfer,Partner,1,2,3 months,Domestic Shorthair Mix,White/Brown Tabby,0.09838107098381071
A852097,*Peeps,03/23/2022 03:32:00 PM,Mar 2022,02/24/2020,Transfer,Out State,2,2,2 years,Boxer Mix,White/Brown,0.15151515151515152
A739593,Elizabeth,12/10/2016 01:58:00 PM,Dec 2016,12/05/2009,Transfer,Partner,1,3,7 years,Domestic Shorthair,Black/White,0.30303030303030304
A769693,Maya,09/01/2018 02:50:00 PM,Sep 2018,02/08/2018,Transfer,Partner,2,0,6 months,Dachshund Mix,Brown Brindle/Liver Tick,0.10585305105853052
A889202,Princesa,09/22/2023 05:25:00 PM,Sep 2023,09/18/2021,Transfer,Partner,2,0,2 years,Jack Russell Terrier Mix,White/Brown,0.15151515151515152
A719457,Toby,05/02/2016 12:00:00 AM,May 2016,08/20/2014,Transfer,Partner,2,2,1 year,Pit Bull Mix,White/Black,0.12121212121212122
A815451,Puffy,04/28/2020 02:00:00 PM,Apr 2020,03/15/2018,Adoption,Foster,1,3,2 years,Siamese,Lynx Point,0.15151515151515152
A716558,*Missy,12/28/2015 02:37:00 PM,Dec 2015,04/21/2015,Transfer,Partner,1,3,8 months,Domestic Shorthair Mix,Black,0.11083437110834371
A846915,Dash,12/09/2021 12:00:00 AM,Dec 2021,03/22/2020,Transfer,Snr,1,4,1 year,Domestic Shorthair,Brown Tabby,0.12121212121212122
A683204,*Spencer,08/02/2014 03:03:00 PM,Aug 2014,07/09/2011,Transfer,Partner,1,2,3 years,Domestic Shorthair Mix,Orange Tabby,0.18181818181818182
A831402,Sophia,03/27/2021 01:57:00 PM,Mar 2021,03/26/2011,Transfer,Partner,2,0,10 years,Miniature Schnauzer,Gray,0.3939393939393939
A812608,Negrita,02/25/2020 12:24:00 PM,Feb 2020,01/25/2019,Transfer,Partner,2,3,1 year,Chihuahua Shorthair,Black,0.12121212121212122
A785013,Anastasia,12/30/2018 06:49:00 PM,Dec 2018,11/25/2017,Adoption,Foster,2,3,1 year,Siberian Husky Mix,Tan/Fawn,0.12121212121212122
A863935,Abby,12/01/2022 03:22:00 PM,Dec 2022,08/17/2021,Transfer,Snr,1,3,1 year,Domestic Shorthair,Tortie,0.12121212121212122
A835154,*Lucky,06/17/2021 01:47:00 PM,Jun 2021,03/17/2021,Adoption,Foster,1,2,3 months,Domestic Longhair,Blue,0.09838107098381071
A816723,*Elroy,06/12/2020 08:34:00 AM,Jun 2020,04/26/2008,Euthanasia,At Vet,2,2,12 years,Labrador Retriever,Tan,0.4545454545454546
A789987,London,03/22/2019 01:53:00 PM,Mar 2019,03/02/2015,Transfer,Partner,2,2,4 years,Beagle Mix,Red,0.21212121212121213
A565312,Bella,03/24/2014 04:05:00 PM,Mar 2014,08/10/2008,Euthanasia,Aggressive,2,3,5 years,Dogo Argentino/Chinese Sharpei,White/Black,0.24242424242424243
A655183,Jack,01/26/2014 02:19:00 PM,Jan 2014,05/29/2010,Transfer,Partner,2,2,3 years,English Bulldog Mix,White,0.18181818181818182
A756881,*Mitch,09/05/2017 12:00:00 AM,Sep 2017,08/27/2013,Transfer,Partner,2,2,4 years,Boxer Mix,Tan/White,0.21212121212121213
A802568,Norma,12/31/2019 12:12:00 PM,Dec 2019,06/20/2019,Transfer,Partner,1,3,6 months,Domestic Shorthair,Calico,0.10585305105853052
A753399,*Cthulhu,07/13/2017 11:50:00 AM,Jul 2017,07/05/2015,Transfer,Partner,2,1,2 years,Chihuahua Shorthair Mix,Tan/White,0.15151515151515152
A812454,Lulu,01/23/2020 03:51:00 PM,Jan 2020,01/22/2018,Transfer,Partner,2,0,2 years,Miniature Schnauzer,Gray/White,0.15151515151515152
A721701,*Salem,03/29/2016 03:11:00 PM,Mar 2016,01/22/2016,Adoption,Foster,2,2,2 months,Australian Shepherd Mix,Black,0.09589041095890412
A844282,Butter,01/13/2022 02:01:00 PM,Jan 2022,10/14/2019,Transfer,Partner,1,3,2 years,Siamese Mix,Lynx Point,0.15151515151515152
A805761,Carmella,10/04/2019 03:04:00 PM,Oct 2019,10/01/2011,Transfer,Partner,2,3,8 years,Dachshund/Chihuahua Shorthair,Red/White,0.33333333333333337
A663723,Tornado,10/09/2013 04:42:00 PM,Oct 2013,07/16/2013,Transfer,Partner,1,2,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A832065,101 G,04/07/2021 02:48:00 PM,Apr 2021,04/04/2021,Transfer,Partner,1,1,3 days,Domestic Shorthair,Black/White,0.09115815691158158
A782826,*Lorac,11/01/2018 04:33:00 PM,Nov 2018,04/21/2017,Transfer,Partner,2,2,1 year,Black Mouth Cur Mix,Tan/Black,0.12121212121212122
A862513,*Botwin,08/12/2022 08:10:00 AM,Aug 2022,03/27/2022,Transfer,Out State,2,0,4 months,Australian Cattle Dog,Black/White,0.10087173100871731
A863075,Thomas,08/12/2022 08:06:00 AM,Aug 2022,03/04/2022,Transfer,Out State,2,1,5 months,German Shepherd,Tan/Black,0.10336239103362391
A688445,Rudy,10/04/2014 06:31:00 PM,Oct 2014,08/04/2014,Adoption,Foster,2,2,1 month,Chihuahua Shorthair Mix,Brown Brindle/White,0.09339975093399751
A876410,A876410,03/15/2023 07:48:00 AM,Mar 2023,03/14/2021,Euthanasia,Rabies Risk,3,4,2 years,Bat,Brown,0.15151515151515152
A656250,*Dorothy,12/28/2013 12:01:00 PM,Dec 2013,05/12/2013,Adoption,Foster,1,3,7 months,Domestic Shorthair Mix,Black/White,0.10834371108343711
A778202,*Mike D,09/03/2018 12:20:00 PM,Sep 2018,07/06/2018,Died,In Foster,1,1,1 month,Domestic Shorthair Mix,Black/White,0.09339975093399751
A790761,Pelona,03/18/2019 03:31:00 PM,Mar 2019,03/16/2016,Transfer,Partner,2,0,3 years,Chihuahua Shorthair,Brown/Tricolor,0.18181818181818182
A687026,Cindy Lou,10/02/2017 01:06:00 PM,Oct 2017,08/30/2006,Transfer,Partner,1,3,11 years,Persian,Silver,0.4242424242424243
A802612,Monte,08/21/2019 05:59:00 PM,Aug 2019,06/25/2018,Transfer,Partner,2,1,1 year,Pomeranian,Black/White,0.12121212121212122
A779516,Rico,04/06/2019 06:23:00 PM,Apr 2019,09/02/2017,Transfer,Partner,2,2,1 year,Pit Bull,Red/White,0.12121212121212122
A900681,121 Grams,03/23/2024 05:08:00 PM,Mar 2024,03/20/2024,Transfer,Partner,1,0,3 days,Domestic Shorthair,Black,0.09115815691158158
A835452,Widget,11/05/2021 01:05:00 PM,Nov 2021,05/27/2018,Transfer,Out State,2,3,3 years,Chihuahua Shorthair Mix,Brown Brindle,0.18181818181818182
A779068,Blu,10/22/2018 04:20:00 PM,Oct 2018,08/24/2017,Adoption,Foster,2,2,1 year,Pit Bull Mix,Blue/White,0.12121212121212122
A707795,*Mona,09/10/2015 02:35:00 PM,Sep 2015,07/18/2014,Transfer,Partner,2,3,1 year,Labrador Retriever/Pit Bull,Black/White,0.12121212121212122
A773713,Hope,11/28/2022 12:56:00 PM,Nov 2022,04/04/2018,Transfer,Partner,2,3,4 years,Rat Terrier Mix,Black/White,0.21212121212121213
A794424,*Dune,07/03/2019 03:52:00 PM,Jul 2019,05/08/2018,Transfer,Partner,2,2,1 year,Pit Bull,Yellow Brindle,0.12121212121212122
A680251,*Puffer Cat,08/28/2014 12:37:00 PM,Aug 2014,04/06/2014,Adoption,Foster,1,2,4 months,Domestic Shorthair Mix,Orange Tabby,0.10087173100871731
A905287,*Ozzy,07/24/2024 01:21:00 PM,Jul 2024,07/19/2023,Transfer,Partner,2,1,1 year,German Shepherd Mix,Black/Brown,0.12121212121212122
A868959,*Curan,04/25/2023 03:28:00 PM,Apr 2023,06/10/2022,Adoption,Foster,2,2,10 months,Beagle Mix,Brown/White,0.11581569115815692
A799172,Lucky,07/09/2019 05:06:00 PM,Jul 2019,07/05/2018,Transfer,Partner,2,2,1 year,German Shepherd,Black/Brown,0.12121212121212122
A712426,*Pope,11/05/2015 12:00:00 AM,Nov 2015,09/22/2014,Transfer,Partner,2,2,1 year,Great Pyrenees Mix,White,0.12121212121212122
A872278,A872278,01/07/2023 02:02:00 PM,Jan 2023,07/07/2019,Transfer,Partner,2,0,3 years,Dachshund/Pit Bull,Blue/White,0.18181818181818182
A772347,*Paloma,06/23/2018 05:12:00 PM,Jun 2018,04/17/2018,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A831458,Dot,08/11/2021 05:46:00 PM,Aug 2021,03/27/2018,Euthanasia,Aggressive,2,1,3 years,American Pit Bull Terrier,Black/White,0.18181818181818182
A844894,*Beaux,11/13/2021 06:25:00 PM,Nov 2021,10/22/2019,Transfer,Out State,2,2,2 years,Great Pyrenees Mix,Brown/Black,0.15151515151515152
A872841,*Root Beer,02/16/2023 01:57:00 PM,Feb 2023,11/16/2022,Adoption,Foster,1,2,3 months,Domestic Shorthair,Cream Tabby,0.09838107098381071
A671138,Sylvester,02/02/2014 02:52:00 PM,Feb 2014,01/19/2011,Transfer,Partner,1,1,3 years,Domestic Longhair Mix,White/Black,0.18181818181818182
A846210,*Lady,12/31/2021 01:20:00 PM,Dec 2021,11/11/2012,Adoption,Foster,2,3,9 years,Boxer,Brown/White,0.36363636363636365
A681179,Tyson,11/08/2015 01:19:00 PM,Nov 2015,04/28/2014,Transfer,Partner,2,2,1 year,Catahoula Mix,Fawn/White,0.12121212121212122
A870002,*Stewie,01/18/2023 09:38:00 AM,Jan 2023,11/29/2016,Transfer,Partner,1,2,6 years,Domestic Shorthair,Brown Tabby/White,0.2727272727272727
A835312,A835312,05/26/2021 01:15:00 PM,May 2021,05/25/2021,Transfer,Partner,1,1,1 day,Domestic Shorthair,Black/White,0.09099211290992114
A855953,*Princess Peach,05/17/2022 01:25:00 PM,May 2022,04/15/2022,Adoption,Foster,1,3,4 weeks,Domestic Medium Hair,Blue/White,0.09323370693233707
A782762,Buddy,01/05/2019 01:51:00 PM,Jan 2019,10/20/2017,Transfer,Partner,2,2,1 year,Australian Cattle Dog Mix,Black/Tricolor,0.12121212121212122
A850011,*Bubbles,02/10/2022 02:46:00 PM,Feb 2022,12/08/2021,Transfer,Out State,2,3,2 months,German Shepherd Mix,Brown/White,0.09589041095890412
A721508,*Lefty,03/03/2016 04:25:00 PM,Mar 2016,06/28/2015,Transfer,Partner,2,2,8 months,Labrador Retriever Mix,Black,0.11083437110834371
A898177,Boss,02/21/2024 01:07:00 PM,Feb 2024,02/13/2022,Transfer,Partner,2,1,2 years,Miniature Poodle/Scottish Terrier,White,0.15151515151515152
A701911,*Princess,05/15/2015 11:37:00 AM,May 2015,11/14/2014,Transfer,Partner,2,3,5 months,Great Pyrenees Mix,White,0.10336239103362391
A857248,*Adora,06/02/2022 07:01:00 PM,Jun 2022,02/13/2022,Transfer,Partner,2,3,3 months,Pit Bull Mix,Brown Brindle/White,0.09838107098381071
A885840,A885840,09/06/2023 03:19:00 PM,Sep 2023,05/11/2023,Adoption,Foster,1,2,3 months,Domestic Shorthair,Brown Tabby,0.09838107098381071
A819646,*Maybelle,07/21/2020 11:07:00 AM,Jul 2020,04/02/2020,Transfer,Partner,1,0,3 months,Domestic Shorthair Mix,Calico,0.09838107098381071
A732645,*Liza,08/17/2016 12:00:00 AM,Aug 2016,06/11/2016,Transfer,Partner,1,3,2 months,Domestic Shorthair Mix,Calico,0.09589041095890412
A788875,Frank,03/05/2019 02:52:00 PM,Mar 2019,07/10/2018,Transfer,Partner,2,2,7 months,Collie Rough Mix,Tricolor,0.10834371108343711
A838101,Mary,10/19/2021 12:44:00 PM,Oct 2021,07/02/2011,Adoption,Foster,2,3,10 years,Australian Kelpie Mix,Red,0.3939393939393939
A677468,*Cinnamon,04/27/2014 12:40:00 PM,Apr 2014,03/25/2014,Transfer,Partner,1,0,4 weeks,Domestic Shorthair Mix,Brown Tabby,0.09323370693233707
A672392,*Bubba,02/16/2014 11:59:00 AM,Feb 2014,02/09/2012,Transfer,Partner,1,2,2 years,Domestic Shorthair Mix,Blue Tabby/White,0.15151515151515152
A835145,A835145,05/24/2021 12:06:00 PM,May 2021,05/23/2021,Transfer,Partner,1,0,1 day,Domestic Shorthair,Brown Tabby,0.09099211290992114
A774253,*Frankie,06/26/2018 11:19:00 AM,Jun 2018,10/12/2017,Transfer,Partner,2,1,8 months,Labrador Retriever Mix,Black/White,0.11083437110834371
A870929,Bella,02/16/2023 05:52:00 PM,Feb 2023,12/15/2018,Transfer,Partner,2,3,4 years,Pit Bull Mix,Blue/White,0.21212121212121213
A695241,*Carlos,01/21/2015 05:33:00 PM,Jan 2015,11/16/2014,Transfer,Partner,2,2,2 months,Labrador Retriever Mix,White,0.09589041095890412
A911726,A911726,08/25/2024 12:00:00 AM,Aug 2024,08/16/2024,Died,In Foster,1,0,1 weeks,Domestic Shorthair,Blue,0.09149024491490246
A860822,*Grayson,11/03/2022 09:29:00 AM,Nov 2022,07/04/2020,Adoption,Foster,1,2,2 years,Siamese,Lynx Point,0.15151515151515152
A756368,*Sawyer,09/04/2017 02:05:00 PM,Sep 2017,08/22/2007,Adoption,Foster,2,2,10 years,Beagle/Labrador Retriever,Black/White,0.3939393939393939
A676264,*Finn,04/14/2014 02:38:00 PM,Apr 2014,04/07/2011,Transfer,Partner,2,2,3 years,Miniature Poodle Mix,White,0.18181818181818182
A653240,*Ola,11/15/2013 08:24:00 AM,Nov 2013,05/04/2010,Adoption,Foster,1,3,3 years,Domestic Medium Hair Mix,Black,0.18181818181818182
A768336,Brodie,03/21/2018 12:48:00 PM,Mar 2018,06/17/2017,Transfer,Partner,2,1,9 months,Norfolk Terrier Mix,Brown/Tricolor,0.11332503113325032
A787059,*Skip,01/15/2019 02:19:00 PM,Jan 2019,07/07/2017,Transfer,Partner,2,0,1 year,Pit Bull,Black/White,0.12121212121212122
A663376,Floppy,10/23/2013 05:02:00 PM,Oct 2013,08/04/2013,Transfer,Partner,3,4,2 months,Rabbit Sh Mix,Brown,0.09589041095890412
A852775,A852775,05/18/2022 02:13:00 PM,May 2022,01/31/2022,Adoption,Foster,1,3,3 months,Domestic Medium Hair Mix,Tortie,0.09838107098381071
A735409,*Reba,10/12/2016 02:36:00 PM,Oct 2016,09/23/2015,Transfer,Partner,1,3,1 year,Domestic Shorthair Mix,Black/White,0.12121212121212122
A745881,Bella,03/27/2017 03:44:00 PM,Mar 2017,07/25/2016,Transfer,Partner,2,3,8 months,Pit Bull Mix,Red,0.11083437110834371
A758601,*Tangerine,11/02/2017 01:56:00 PM,Nov 2017,08/15/2017,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Orange Tabby,0.09589041095890412
A704005,*Petunia,07/18/2015 03:09:00 PM,Jul 2015,05/01/2015,Adoption,Foster,1,3,2 months,Siamese Mix,Lynx Point,0.09589041095890412
A819352,*Tulip,09/05/2020 04:06:00 PM,Sep 2020,06/19/2020,Adoption,Foster,2,3,2 months,Labrador Retriever Mix,Black/White,0.09589041095890412
A854626,A854626,05/03/2022 04:10:00 PM,May 2022,02/27/2022,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Orange Tabby,0.09589041095890412
A805193,*Dali,07/31/2020 08:55:00 AM,Jul 2020,08/23/2019,Adoption,Foster,1,2,11 months,Domestic Shorthair Mix,Brown Tabby,0.11830635118306351
A698015,Snow,03/05/2015 10:46:00 AM,Mar 2015,01/04/2014,Euthanasia,Suffering,1,1,1 year,Domestic Shorthair Mix,Blue Tabby/White,0.12121212121212122
A799257,*Marsha,08/24/2019 03:50:00 PM,Aug 2019,06/13/2019,Adoption,Foster,1,3,2 months,Domestic Shorthair,Brown Tabby,0.09589041095890412
A841953,*Sheldon,10/11/2021 05:44:00 PM,Oct 2021,08/07/2021,Transfer,Partner,1,1,2 months,Domestic Shorthair,Blue Tabby/White,0.09589041095890412
A671890,*Buster,05/07/2014 03:37:00 PM,May 2014,02/01/2010,Adoption,Foster,2,2,4 years,Smooth Fox Terrier Mix,White/Brown,0.21212121212121213
A702303,Arnie,06/29/2015 02:03:00 PM,Jun 2015,05/12/2014,Transfer,Partner,2,2,1 year,Chihuahua Shorthair Mix,Red,0.12121212121212122
A821219,*Pearl,08/19/2020 06:46:00 PM,Aug 2020,08/06/2018,Transfer,Partner,2,3,2 years,Australian Cattle Dog,White,0.15151515151515152
A672357,Princess,12/01/2014 03:03:00 PM,Dec 2014,02/08/2006,Adoption,Foster,2,3,8 years,Carolina Dog Mix,Red,0.33333333333333337
A765592,*Octavia,01/24/2018 12:00:00 AM,Jan 2018,12/15/2017,Transfer,Partner,2,0,1 month,Chihuahua Shorthair Mix,Black/Brown,0.09339975093399751
A837154,*Howie,10/23/2021 01:59:00 PM,Oct 2021,05/03/2021,Adoption,Foster,1,2,5 months,Domestic Shorthair,Black/White,0.10336239103362391
A701782,*Trudy,05/26/2016 09:09:00 AM,May 2016,05/04/2013,Adoption,Foster,1,3,3 years,Domestic Shorthair Mix,Brown Tabby,0.18181818181818182
A714554,*Stardust,12/29/2015 07:56:00 PM,Dec 2015,10/25/2006,Transfer,Partner,1,3,9 years,Domestic Shorthair Mix,Black/White,0.36363636363636365
A727347,*Bach,06/02/2016 12:09:00 PM,Jun 2016,05/21/2013,Transfer,Partner,2,0,3 years,Beagle Mix,Tricolor,0.18181818181818182
A740441,Dino,12/26/2016 12:05:00 PM,Dec 2016,12/19/2004,Transfer,Partner,2,1,12 years,Boxer,White/Brown,0.4545454545454546
A826615,*Darlin,12/18/2020 10:15:00 AM,Dec 2020,12/02/2019,Transfer,Partner,2,3,1 year,German Shepherd Mix,Tan/White,0.12121212121212122
A888739,*Malia,10/29/2023 01:48:00 PM,Oct 2023,07/31/2023,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Black,0.09589041095890412
A912160,*Sabrina,10/01/2024 10:28:00 AM,Oct 2024,07/26/2024,Adoption,Foster,1,3,2 months,Domestic Longhair,Black/White,0.09589041095890412
A912157,*Tabitha,10/01/2024 10:40:00 AM,Oct 2024,07/26/2024,Adoption,Foster,1,3,2 months,Domestic Longhair,Black/White,0.09589041095890412
A909193,*Roscoe,10/01/2024 10:43:00 AM,Oct 2024,07/14/2022,Adoption,Foster,2,2,2 years,Rottweiler,Black/Tricolor,0.15151515151515152
A912900,*Wilder,10/01/2024 11:42:00 AM,Oct 2024,07/23/2024,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A910986,*Molasses,10/01/2024 11:23:00 AM,Oct 2024,07/07/2024,Adoption,Foster,1,3,2 months,Domestic Shorthair,Tortie,0.09589041095890412
A910985,*Honey,10/01/2024 11:01:00 AM,Oct 2024,07/07/2024,Adoption,Foster,1,3,2 months,Domestic Shorthair,Calico,0.09589041095890412
A912901,*Finn,10/01/2024 11:56:00 AM,Oct 2024,07/23/2024,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Black,0.09589041095890412
A910987,*Maple,10/01/2024 11:29:00 AM,Oct 2024,07/07/2024,Adoption,Foster,1,3,2 months,Domestic Shorthair,Torbie,0.09589041095890412
A912902,*Atlas,10/01/2024 11:45:00 AM,Oct 2024,07/23/2024,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Black,0.09589041095890412
A911659,*Oona,10/01/2024 12:15:00 PM,Oct 2024,06/26/2024,Adoption,Foster,1,3,3 months,Domestic Shorthair,Black/White,0.09838107098381071
A911212,*Poppy,10/01/2024 12:07:00 PM,Oct 2024,07/18/2024,Adoption,Foster,1,3,2 months,Domestic Medium Hair,White/Black,0.09589041095890412
A911889,*Dojo,10/01/2024 12:53:00 PM,Oct 2024,08/22/2019,Transfer,Partner,1,1,5 years,Domestic Shorthair,Orange Tabby/White,0.24242424242424243
A907528,*Patchwork,10/01/2024 12:35:00 PM,Oct 2024,06/17/2023,Adoption,Foster,1,3,1 year,Domestic Shorthair,Calico,0.12121212121212122
